252.949, 132.957, 5.000, 51.687 False
253.449, 132.957, 5.000, 52.087 False
253.950, 132.957, 5.000, 52.470 False
254.450, 132.958, 5.000, 52.870 False
254.950, 132.958, 5.000, 53.270 False
255.450, 132.958, 5.000, 53.670 False
255.950, 132.958, 5.000, 54.042 False
256.450, 132.958, 5.000, 54.442 False
256.950, 132.958, 5.000, 54.812 False
257.450, 132.958, 5.000, 55.212 False
257.950, 132.958, 5.000, 55.565 False
258.450, 132.958, 5.000, 55.965 False
258.951, 132.957, 5.000, 56.337 False
259.451, 132.957, 5.000, 56.737 False
259.952, 132.957, 5.048, 57.136 False
260.465, 132.957, 5.166, 57.536 False
260.983, 132.956, 5.165, 57.897 False
261.496, 132.956, 5.111, 58.297 False
262.003, 132.956, 5.059, 58.671 False
262.506, 132.955, 5.012, 59.071 False
263.009, 132.955, 5.059, 59.437 False
263.518, 132.955, 5.081, 59.837 False
264.022, 132.954, 5.021, 60.217 False
264.523, 132.954, 5.033, 60.617 False
265.030, 132.954, 5.068, 60.994 False
265.533, 132.953, 5.008, 61.394 False
266.035, 132.953, 5.049, 61.754 False
266.543, 132.953, 5.083, 62.154 False
267.047, 132.952, 5.017, 62.516 False
267.548, 132.952, 5.026, 62.916 False
268.053, 132.951, 5.062, 63.277 False
268.560, 132.951, 5.070, 63.677 False
269.063, 132.950, 4.999, 64.040 False
269.565, 132.950, 5.033, 64.440 False
270.068, 132.950, 5.011, 64.835 False
270.569, 132.949, 5.023, 65.235 False
271.073, 132.949, 5.043, 65.599 False
271.577, 132.948, 5.039, 65.999 False
272.078, 132.948, 5.007, 66.358 False
272.580, 132.948, 5.025, 66.758 False
273.083, 132.947, 5.034, 67.121 False
273.583, 132.947, 4.998, 67.521 False
274.084, 132.947, 5.015, 67.898 False
274.587, 132.946, 5.025, 68.298 False
275.088, 132.946, 4.997, 68.673 False
275.589, 132.946, 5.012, 69.073 False
276.090, 132.945, 5.021, 69.434 False
276.591, 132.945, 4.995, 69.834 False
277.092, 132.945, 5.009, 70.196 False
277.593, 132.944, 5.016, 70.596 False
278.094, 132.944, 4.987, 70.976 False
278.593, 132.944, 5.002, 71.376 False
279.094, 132.943, 5.013, 71.770 False
279.596, 132.943, 5.015, 72.170 False
280.096, 132.943, 4.999, 72.547 False
280.597, 132.943, 5.009, 72.947 False
281.098, 132.942, 5.014, 73.347 False
281.598, 132.942, 4.995, 73.747 False
282.098, 132.942, 5.005, 74.142 False
282.599, 132.942, 5.011, 74.542 False
283.100, 132.942, 4.993, 74.895 False
283.599, 132.941, 4.999, 75.295 False
284.100, 132.941, 5.007, 75.662 False
284.601, 132.941, 5.012, 76.062 False
285.101, 132.941, 5.002, 76.452 False
285.602, 132.941, 5.007, 76.852 False
286.102, 132.941, 5.009, 77.252 False
286.603, 132.941, 5.003, 77.652 False
287.103, 132.940, 5.002, 78.052 False
287.602, 132.940, 4.998, 78.452 False
288.103, 132.940, 5.002, 78.852 False
288.603, 132.940, 5.005, 79.252 False
289.103, 132.940, 4.994, 79.632 False
289.603, 132.940, 5.000, 80.032 False
290.103, 132.940, 5.004, 80.413 False
290.604, 132.940, 5.003, 80.813 False
291.103, 132.940, 4.998, 81.213 False
291.603, 132.940, 5.002, 81.613 False
292.104, 132.940, 5.005, 81.975 False
292.604, 132.940, 4.993, 82.375 False
293.104, 132.940, 5.000, 82.752 False
293.604, 132.940, 5.004, 83.152 False
294.104, 132.940, 5.006, 83.511 False
294.604, 132.940, 4.996, 83.911 False
295.104, 132.940, 5.001, 84.286 False
295.604, 132.940, 5.004, 84.686 False
296.105, 132.940, 5.003, 85.086 False
296.604, 132.940, 4.997, 85.486 False
297.104, 132.940, 5.001, 85.851 False
297.604, 132.940, 5.003, 86.251 False
298.105, 132.940, 5.003, 86.644 False
298.604, 132.940, 4.996, 87.044 False
299.104, 132.940, 5.000, 87.422 False
299.604, 132.940, 5.003, 87.822 False
300.105, 132.940, 5.004, 88.209 False
300.604, 132.940, 4.994, 88.609 False
301.104, 132.940, 4.999, 88.989 False
301.604, 132.940, 5.002, 89.389 False
302.104, 132.940, 5.004, 89.755 False
302.604, 132.940, 4.992, 90.155 False
303.104, 132.940, 4.998, 90.555 False
303.604, 132.940, 5.002, 90.955 False
304.104, 132.940, 5.005, 91.327 False
304.604, 132.940, 4.992, 91.727 False
305.104, 132.940, 4.999, 92.090 False
305.604, 132.940, 5.003, 92.490 False
306.104, 132.940, 5.004, 92.783 False
306.604, 132.940, 4.994, 93.142 False
307.104, 132.940, 5.000, 93.448 False
307.604, 132.941, 5.003, 93.801 False
308.105, 132.941, 5.006, 94.086 False
308.604, 132.941, 4.995, 94.426 False
309.104, 132.941, 5.000, 94.734 False
309.605, 132.941, 5.003, 95.088 False
310.105, 132.941, 5.002, 95.406 False
310.602, 132.922, 4.938, 95.806 False
311.088, 132.898, 4.825, 96.146 False
311.559, 132.897, 4.621, 96.546 False
312.004, 132.908, 4.362, 96.869 False
312.420, 132.935, 4.030, 97.269 False
312.800, 132.961, 3.682, 97.593 False
313.146, 132.960, 3.307, 97.993 False
313.457, 132.948, 2.983, 98.318 False
313.740, 132.953, 2.718, 98.701 False
314.000, 132.964, 2.516, 99.009 False
314.243, 132.978, 2.371, 99.378 False
314.475, 132.991, 2.274, 99.687 False
314.699, 132.985, 2.188, 100.087 False
